2022-04-26 00:14:21,181 DEBUG    log_decor.py функция config_load с аргументами (), {} вызвана из функции __main__
2022-04-26 00:14:21,184 DEBUG    log_decor.py функция arg_parser с аргументами ('7777', ''), {} вызвана из функции __main__
2022-04-26 00:14:56,566 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1020, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57464)>,), {} вызвана из функции common.utils
2022-04-26 00:14:56,571 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1020, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57464)>, {'response': 511, 'bin': 'b68f7c0c4a78d7cab1215adc5b630c186bb8983949908f6a705657c1980160208c5072cd72b9c2a9d939463f241c0126f158be2be4e39ee9d1abacbbb514f5b4'}), {} вызвана из функции common.utils
2022-04-26 00:14:56,571 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1020, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57464)>,), {} вызвана из функции common.utils
2022-04-26 00:14:56,572 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1020, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57464)>, {'response': 200}), {} вызвана из функции common.utils
2022-04-26 00:14:57,086 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1020, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57464)>,), {} вызвана из функции common.utils
2022-04-26 00:14:57,087 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1020, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57464)>, {'response': 202, 'data_list': ['test2', 'test1']}), {} вызвана из функции common.utils
2022-04-26 00:14:57,588 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1020, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57464)>,), {} вызвана из функции common.utils
2022-04-26 00:14:57,594 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1020, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57464)>, {'response': 202, 'data_list': ['test2']}), {} вызвана из функции common.utils
2022-04-26 00:15:12,831 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1132, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57466)>,), {} вызвана из функции common.utils
2022-04-26 00:15:12,837 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1132, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57466)>, {'response': 511, 'bin': '8c542b07a2095b55330127bd9e245f9c2c08b00a454ccc7a698ed4bf85d4cc054c72363eefebfab69a7b1c03e697e1e0bad7a3261c19c624496fb1dfeaff9028'}), {} вызвана из функции common.utils
2022-04-26 00:15:12,838 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1132, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57466)>,), {} вызвана из функции common.utils
2022-04-26 00:15:12,838 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1132, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57466)>, {'response': 200}), {} вызвана из функции common.utils
2022-04-26 00:15:13,365 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1132, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57466)>,), {} вызвана из функции common.utils
2022-04-26 00:15:13,370 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1132, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57466)>, {'response': 202, 'data_list': ['test2', 'test1']}), {} вызвана из функции common.utils
2022-04-26 00:15:13,870 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1132, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57466)>,), {} вызвана из функции common.utils
2022-04-26 00:15:13,872 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1132, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57466)>, {'response': 202, 'data_list': ['test1']}), {} вызвана из функции common.utils
2022-04-26 00:15:42,383 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1020, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57464)>, {'response': 205}), {} вызвана из функции common.utils
2022-04-26 00:15:42,383 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1132, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57466)>, {'response': 205}), {} вызвана из функции common.utils
2022-04-26 00:15:42,390 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1020, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57464)>,), {} вызвана из функции common.utils
2022-04-26 00:15:42,391 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1020, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57464)>, {'response': 202, 'data_list': ['test2', 'test1', 'test3']}), {} вызвана из функции common.utils
2022-04-26 00:15:42,392 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1132, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57466)>,), {} вызвана из функции common.utils
