2022-04-24 02:57:51,399 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1620, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57494)>,), {} вызвана из функции common.utils
2022-04-24 02:57:51,399 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1620, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57494)>, {'response': 200}), {} вызвана из функции common.utils
2022-04-24 02:57:51,909 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1620, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57494)>,), {} вызвана из функции common.utils
2022-04-24 02:57:51,914 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1620, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57494)>, {'response': 202, 'data_list': ['test1', 'test2', 's']}), {} вызвана из функции common.utils
2022-04-24 02:57:52,415 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1620, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57494)>,), {} вызвана из функции common.utils
2022-04-24 02:57:52,440 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1620, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57494)>, {'response': 202, 'data_list': []}), {} вызвана из функции common.utils
2022-04-24 03:00:03,046 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1620, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57494)>,), {} вызвана из функции common.utils
2022-04-24 03:00:03,228 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1620, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57494)>, {'response': 200}), {} вызвана из функции common.utils
2022-04-24 03:00:05,729 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1620, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57494)>,), {} вызвана из функции common.utils
2022-04-24 03:00:05,732 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1620, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57494)>, {'response': 400, 'error': 'Нет публичного ключа для данного пользователя'}), {} вызвана из функции common.utils
2022-04-24 03:00:51,015 DEBUG    log_decor.py функция config_load с аргументами (), {} вызвана из функции __main__
2022-04-24 03:00:51,018 DEBUG    log_decor.py функция arg_parser с аргументами ('7777', ''), {} вызвана из функции __main__
2022-04-24 03:01:57,511 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1156, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57522)>,), {} вызвана из функции common.utils
2022-04-24 03:01:57,518 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1156, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57522)>, {'response': 511, 'bin': 'f3bffaca1292d732970673c19abbcadf58b9bcf244981dcd9a68cadd8006b3aa5edc13d46b5ecb9c46b29149bbd4f336f3d6f27370cf647b003258049d8a5ce7'}), {} вызвана из функции common.utils
2022-04-24 03:01:57,518 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1156, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57522)>,), {} вызвана из функции common.utils
2022-04-24 03:01:57,518 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1156, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57522)>, {'response': 400, 'error': 'Неверный пароль.'}), {} вызвана из функции common.utils
2022-04-24 03:02:15,344 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1168, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57531)>,), {} вызвана из функции common.utils
2022-04-24 03:02:15,349 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1168, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57531)>, {'response': 511, 'bin': 'd612dd06971632a62236d43d38b92d2a9fb95baa443249282268809423596378503764e7c30819a9b55ca6f8e0b6222c30aa15670d206185006d5e267f78962b'}), {} вызвана из функции common.utils
2022-04-24 03:02:15,350 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1168, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57531)>,), {} вызвана из функции common.utils
2022-04-24 03:02:15,351 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1168, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57531)>, {'response': 400, 'error': 'Неверный пароль.'}), {} вызвана из функции common.utils
2022-04-24 03:02:50,451 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57535)>,), {} вызвана из функции common.utils
2022-04-24 03:02:50,454 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57535)>, {'response': 511, 'bin': 'bf4759520101ece8b69a61576687ebe65ac6cb0433cc8aa73ff0b29d91450f08245eb6fab9a4a2dbd2cbb1fe6980e7e5711474cb10e8e4f9af2947670c0e2bf1'}), {} вызвана из функции common.utils
2022-04-24 03:02:50,454 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 57535)>,), {} вызвана из функции common.utils
