2022-04-24 03:00:05,473 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1192, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57494), raddr=('127.0.0.1', 7777)>, {'action': 'pubkey_need', 'time': 1650758405.4731667, 'account_name': 'test1'}), {} вызвана из функции common.utils
2022-04-24 03:00:05,733 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1192, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57494), raddr=('127.0.0.1', 7777)>,), {} вызвана из функции common.utils
2022-04-24 03:00:45,544 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
2022-04-24 03:00:56,960 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
2022-04-24 03:01:44,971 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
2022-04-24 03:01:54,501 INFO     client.py Запущен клиент с парамертами: адрес сервера: localhost , порт: 7777, имя пользователя: test1
2022-04-24 03:01:56,959 DEBUG    client.py Keys successfully loaded.
2022-04-24 03:01:57,018 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1192, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57522), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1650758517.0189815, 'user': {'account_name': 'test1', 'pubkey': '-----BEGIN PUBLIC KEY-----\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1O9Ez5HSOVZ0pjETN4tF\nM6QZMbzzOAIs+3M2lsWrwbgwaIGSHoOxHR17WxbBXwd7AKRkcqTy74zJyPfP9DLP\n7qyhsrJ3S4VBQKFHz8M1Uje6Q+8MYd6elanzpo5r5kcAZWxwFqINy3VXq23O1ueG\nC6d+lnOnVcZUmjWCbvtQ3jxLL37HWBlTHvCK4LqU3BPXzEDIN/tqQb2Rw949D5V6\nEkM9E3D09eFyn6UZa8ymuQdGSqfZPY6rpszO997QL47C0jrHhGb0QWnATvu2YfqL\nt0ZPXGJXRwxvxr+6d9hBz5y3WRlC3ji8bC27uWTHJZKz4TGyHtWaPmdi8xE/hFxv\nswIDAQAB\n-----END PUBLIC KEY-----'}}), {} вызвана из функции common.utils
2022-04-24 03:01:57,518 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1192, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57522), raddr=('127.0.0.1', 7777)>,), {} вызвана из функции common.utils
2022-04-24 03:01:57,518 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1192, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57522), raddr=('127.0.0.1', 7777)>, {'response': 511, 'bin': 'WMjNswgtN/7iIgDJbhc+ZA==\n'}), {} вызвана из функции common.utils
2022-04-24 03:01:57,518 DEBUG    log_decor.py функция get_message с аргументами (<socket.socket fd=1192, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57522), raddr=('127.0.0.1', 7777)>,), {} вызвана из функции common.utils
2022-04-24 03:02:09,042 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
2022-04-24 03:02:14,732 INFO     client.py Запущен клиент с парамертами: адрес сервера: localhost , порт: 7777, имя пользователя: test1
